VEHICLE TYPES,VEHICLE TYPES
dollar van,2
fdny vehic,2
box car,2
dodge ram,2
f1,2
polic,1
pedestrian,1
pass van,1
quality tr,1
revel mo'e,1
r/v,1
pch,1
rescu,1
perm,1
plow,1
postal car,1
psh,1
principle,1
payloader,1
paylo,1
power ladd,1
parce,1
passanger,1
postal van,1
palfinger,1
razor150 m,1
p/sh yw,1
plow truck,1
plow  truc,1
petit cab,1
rd bldng m,1
postoffice,1
push cart,1
ride on sc,1
piggy back,1
rgs,1
rgr,1
pu,1
rented boo,1
rmp v,1
pick wh,1
refri,1
razor,1
progressiv,1
orange jlg,1
orion,1
refriger t,1
oth,1
police van,1
post,1
pickup sl,1
pick truck,1
promaster,1
police rep,1
passe,1
pallet jac,1
pumper tru,1
range,1
ram comm.,1
pas (4dr s,1
postal bus,1
rental van,1
pick rd,1
ram promas,1
private,1
red vehicl,1
private am,1
pro master,1
prks,1
rental tru,1
pepsi deli,1
reg,1
pay loader,1
refuse tru,1
priv ambul,1
''lime mope,1
roadroller,1
uhaulwtowd,1
unattached,1
uni e-bike,1
unk box tr,1
unk female,1
unknow,1
unknown ca,1
unkwown,1
unmarked v,1
unnko,1
ups van,1
us goverme,1
us govt ve,1
us mail tr,1
usp m,1
uspcs,1
uspcs truc,1
uspos,1
usps  van,1
usps #6530,1
usps #7530,1
usps 88716,1
ukn,1
uhal,1
usps mailt,1
u-tru,1
trailer/tr,1
train cart,1
transit mt,1
transit va,1
tree cutte,1
trim,1
trolley ri,1
trt,1
truck comm,1
truck cran,1
truck flat,1
truck ladd,1
truck van,1
truck w/tr,1
ttailer,1
ttrailer,1
tugge,1
u hau,1
u haul mov,1
u-haul min,1
u-haul tru,1
usps box t,1
usps self,1
trailer fl,1
waste,1
wh,1
wh ford co,1
wheel,1
wheel barr,1
wheel load,1
white ambu,1
white box,1
white ford,1
wineb,1
workcart,1
workh util,1
wstr,1
x,1
x amb,1
x trailer,1
yamaha,1
yellow cab,1
yellow tax,1
yellowpowe,1
yw school,1
omm,1
waste truc,1
wag,1
usps small,1
vs2,1
"usps truc,",1
usps/govt,1
util truck,1
util wh,1
util.,1
utility ca,1
utility wh,1
utility.,1
utv bobcat,1
va,1
van a,1
van box tr,1
van c,1
van wh,1
van/transi,1
vav,1
vehicle 2,1
vehicle tr,1
vendor cha,1
verzion va,1
vms t,1
trailer/fl,1
trailee,1
rv/van,1
short bus,1
